,X1,X2,X3,X4,X5
2017-01-05 18:00:00,-2779.2615622790736,-4617.9427491934875,-1246.6700015018425,-10237.553998422358,-7412.510388808976
2017-01-05 19:00:00,-3136.4730560508133,-4580.389168194597,-1375.887188112535,-10874.835554922018,-7381.523064102834
2017-01-05 20:00:00,-3049.9103404046136,-4692.8374839800945,-1346.4976874449667,-10762.487551088614,-7524.512021412276
2017-01-05 21:00:00,-2824.645931740083,-4433.74574176688,-1267.5356438430622,-10415.842720291905,-7236.578708429466
2017-01-05 22:00:00,-2218.5406978889628,-3925.9984695354387,-1052.459557601339,-9425.876276200099,-6660.2479448639715
2017-01-05 23:00:00,-1284.8663792154891,-3123.889071762539,-720.3089629816134,-7882.575582792304,-5742.507977376742
2017-01-06 00:00:00,-1254.082182123513,-2809.3602482158453,-710.8549291830581,-7864.449427485599,-5390.27722880845
2017-01-06 01:00:00,-572.1742259077482,-2301.5344579013804,-468.68664509437554,-6746.435971574905,-4813.855397833488
2017-01-06 02:00:00,-112.27596401555729,-1811.7265449818678,-305.86551866613064,-6003.444375910995,-4258.3311913965135
2017-01-06 03:00:00,-63.83479221159094,-1754.6819914160278,-290.1008110902561,-5955.49181359537,-4204.7377062833475
2017-01-06 04:00:00,-200.0,-1639.4426617317708,-238.63066601434275,-5738.783117008461,-4083.6483361257
2017-01-06 05:00:00,-200.0,-1453.2120796168067,-194.80884028279883,-5558.222998806192,-3880.2213794555573
2017-01-06 06:00:00,-238.2341898127689,-1983.5537819000538,-357.07694337919577,-6351.714513529844,-4507.894458901699
2017-01-06 07:00:00,-896.1312464514102,-2622.231997016464,-593.7603594971595,-7496.918300539575,-5261.219174182406
2017-01-06 08:00:00,-1547.7738722040572,-3393.623232128676,-828.208416861537,-8631.557015997827,-6168.468061682876
2017-01-06 09:00:00,-1727.307389731855,-3907.458732331269,-893.9227801528685,-8968.702466374265,-6776.996798759015
2017-01-06 10:00:00,-1990.2353986453263,-3865.7307404770186,-989.4426700728964,-9446.719050279684,-6741.167878741148
2017-01-06 11:00:00,-1838.0971157981894,-3990.9963076101103,-936.6161979468585,-9223.599887225686,-6899.022632969929
2017-01-06 12:00:00,-1941.2440061323114,-4032.588367014346,-975.0296734569027,-9431.711985633283,-6959.830575858772
2017-01-06 13:00:00,-2170.5297348031104,-4087.0356302566433,-1058.5256771110433,-9852.89956232806,-7035.54833399824
2017-01-06 14:00:00,-2115.7940516083722,-4017.6373165424434,-1040.5112858479738,-9794.31422391541,-6967.626621671954
2017-01-06 15:00:00,-1863.2021081759008,-3743.827126105095,-951.7822714103575,-9401.50734170081,-6662.622451893561
2017-01-06 16:00:00,-1672.8921796491436,-3927.101116409195,-885.3130995944393,-9113.908104409224,-6887.756953947041
2017-01-06 17:00:00,-1933.8242832875535,-3980.3629816802813,-980.1196449417544,-9588.553177392969,-6962.099855260289
2017-01-06 18:00:00,-2671.024638385052,-4327.219989084109,-1245.1463788818512,-10867.71719799682,-7376.962392265279
2017-01-06 19:00:00,-2484.3149420792943,-4472.485362736084,-1179.9639445416274,-10586.199522994451,-7558.013466365863
2017-01-06 20:00:00,-2553.690919058761,-4586.245232961013,-1206.3075597942016,-10737.265325351393,-7702.523600206568
2017-01-06 21:00:00,-2534.3439131256127,-4397.3609432999965,-1200.9412241154841,-10738.459032258135,-7496.018801306987
2017-01-06 22:00:00,-1611.831916808394,-3566.7115255694052,-872.7800884000496,-9214.013888863465,-6545.177341989768
2017-01-06 23:00:00,-776.847565520516,-2779.778193157904,-575.9016850488503,-7837.4216595585785,-5645.0389881074425
2017-01-07 00:00:00,-738.2245870355662,-2418.412624114938,-563.6460392533543,-7806.05412581109,-5238.485707505688
2017-01-07 01:00:00,-115.27099070852675,-1994.0141499695114,-342.5482804996733,-6787.627193734368,-4758.825148199783
2017-01-07 02:00:00,-200.0,-1514.317606117722,-229.37424647272508,-6279.284771363544,-4215.0283827765525
2017-01-07 03:00:00,-200.0,-1593.0577045395382,-137.92704196556028,-5873.630791326628,-4318.92163225814
2017-01-07 04:00:00,-200.0,-1353.3438068120076,-65.49645059248465,-5557.855842163874,-4053.4632706550638
2017-01-07 05:00:00,-200.0,-1359.6457885066777,-36.96634092006501,-5449.569614696294,-4073.3408210384187
2017-01-07 06:00:00,-200.0,-1722.4105933984633,-246.01071267085229,-6464.141805822277,-4506.653654481936
2017-01-07 07:00:00,-479.4218906439594,-2358.07466225406,-481.98744905436064,-7606.005582220056,-5256.48248090292
