Datetime,X1,X2,X3,X4,X5
2017-06-19 05:00:00,-617.6741251653913,-651.3663858584105,-496.3070634432846,-1322.7806641496513,-1940.4429169408904
2017-06-19 06:00:00,-1119.477798733607,-1153.102388528643,-752.5149353203938,-2634.1872511817633,-3096.732841575321
2017-06-19 07:00:00,-1858.5327815536816,-1869.0417401797615,-1014.4979718821278,-4549.656180183083,-4973.320128587775
2017-06-19 08:00:00,-2747.6050390882997,-2691.5186964301015,-1230.9832440798104,-6580.712870549964,-6156.975605974007
2017-06-19 09:00:00,-3781.4656930800256,-4127.411503109083,-1374.2542135306444,-6061.243307125463,-9384.251996359868
2017-06-19 10:00:00,-4304.512228147808,-4654.646818222853,-1413.5253733949007,-9450.482502334704,-9948.8014134535
2017-06-19 11:00:00,-3737.846406732039,-4080.4574951238437,-1246.5541558850157,-8837.906906147504,-7907.463964197819
2017-06-19 12:00:00,-3471.717485649504,-3643.5429217165542,-1132.8985827207393,-7794.62464545608,-6445.928448160105
2017-06-19 13:00:00,-3069.488632968204,-3220.694687272061,-1101.2290969712376,-7116.891437234062,-5664.746946359628
2017-06-19 14:00:00,-3001.188597783411,-3003.481109432475,-1194.0179567285802,-6751.68833622638,-5670.788164035634
2017-06-19 15:00:00,-2988.2074750429447,-3009.331551656839,-1158.2324211267946,-6968.417257949866,-6127.299972005287
2017-06-19 16:00:00,-3089.746005946107,-3186.8096655316253,-1068.3265122552418,-6713.270017870851,-6058.275400590401
2017-06-19 17:00:00,-3145.1733056732155,-3352.385807514369,-1047.1993821430963,-6762.351393703175,-5900.125877455541
2017-06-19 18:00:00,-3420.06494076108,-3554.839407893259,-977.1900674297867,-6281.33813404321,-5098.495556247986
2017-06-19 19:00:00,-3063.731372110783,-3177.7370532788545,-883.2153630027367,-7039.671812782544,-4954.567437225945
2017-06-19 20:00:00,-2581.3848376812316,-2562.921438266596,-714.4878789094905,-4520.5532784616125,-3799.9968118935376
2017-06-19 21:00:00,-1827.319954313965,-1890.9622672943851,-504.17126196166987,-3882.3407283077836,-2760.077464026914
2017-06-19 22:00:00,-1300.3200311550331,-1338.490485630929,-324.2013132786889,-3331.154113461421,-2243.0560019652767
2017-06-19 23:00:00,-881.890429017646,-922.266892332347,-200.11036169241305,-2056.5917887729147,-1614.4916611134383
2017-06-20 00:00:00,-422.9514577188371,-453.8654195684839,-97.28518946586911,-800.5626227755379,-470.2032737640541
2017-06-20 01:00:00,-204.84774666396123,-217.9465166202359,-85.5239685038809,-183.36790840151963,-225.5202841464761
2017-06-20 02:00:00,-140.23196659529412,-139.814604044154,-83.79579287106878,-89.56335544530177,-215.83688675179366
2017-06-20 03:00:00,-173.93742454254908,-183.53134908094455,-118.60229427369444,-132.73800886157233,-523.9801101301612
2017-06-20 04:00:00,-298.1071013828093,-296.88881712257887,-228.55520296604067,-193.37587872337016,-1286.477670734846
2017-06-20 05:00:00,-616.8791690198794,-623.799682547618,-491.6303606369049,-1309.4197398617555,-1901.7758349052074
2017-06-20 06:00:00,-1119.4588362584122,-1195.4372188092148,-733.3618432234148,-2569.091863751438,-2914.5647045363985
2017-06-20 07:00:00,-1882.5841917946063,-1958.973274426225,-1004.830407990094,-4357.345244182751,-4773.268084340425
2017-06-20 08:00:00,-2673.072089505965,-2764.939215716471,-1239.6680744991352,-6352.7544613371865,-6533.431749337319
2017-06-20 09:00:00,-3935.632403728723,-4121.626649159709,-1372.3238670682772,-6392.208908458768,-9450.861029767413
2017-06-20 10:00:00,-4302.64181404869,-4472.07305705558,-1321.1758743686848,-9522.160243020053,-10141.201343299712
2017-06-20 11:00:00,-3951.284311512275,-3934.265348657347,-1256.4297566087357,-8992.172405474681,-8111.2746131990325
2017-06-20 12:00:00,-3369.7803179675166,-3494.5752259589694,-1171.0213172004555,-7772.888031178212,-6313.232773992866
2017-06-20 13:00:00,-3119.9415408200466,-3283.061753161971,-1135.4257920192135,-7127.495162354676,-5846.35456055015
2017-06-20 14:00:00,-3013.7892492045758,-2976.671236825854,-1164.342444051416,-6995.874892686532,-5689.30106981334
2017-06-20 15:00:00,-2927.0271862823847,-3168.3952359756704,-1130.2442100412256,-7132.63433687669,-5789.748092751224
2017-06-20 16:00:00,-2955.7569863077847,-3244.9434815555496,-1069.0489314249346,-6572.562784072625,-6094.6608169831725
2017-06-20 17:00:00,-3165.7721451613543,-3245.2561916024374,-1061.542759461543,-6635.22401222548,-5643.363553092762
2017-06-20 18:00:00,-3311.7109949893384,-3558.910571559286,-961.5595277658715,-6342.787670684864,-5370.172189719278
2017-06-20 19:00:00,-3011.505683616489,-3274.0780953296326,-884.0203967856938,-6796.7384343821395,-4945.55943166778
2017-06-20 20:00:00,-2494.0990949591733,-2726.434443063131,-708.8761282238049,-4552.634997233801,-3996.662773314811
2017-06-20 21:00:00,-1915.0762132053305,-1921.6462018081495,-485.7061957815692,-3883.0226940326397,-2753.661298969676
2017-06-20 22:00:00,-1268.3124051284485,-1325.928919185423,-339.9829912764152,-3315.6328491911154,-2149.588368019735
2017-06-20 23:00:00,-910.5978071661048,-926.506117237669,-198.53327619662753,-2129.7046523786776,-1609.4911853100857
2017-06-21 00:00:00,-438.9387223953281,-449.5605700971294,-94.07887309383791,-828.1599769008633,-474.3699143259414
2017-06-21 01:00:00,-205.2447914579575,-222.64657889783447,-84.39931754344914,-180.17054339614435,-216.99344994346194
2017-06-21 02:00:00,-138.4218195286153,-147.09212458968545,-85.17044785949213,-90.62393694320042,-216.88263617075907
2017-06-21 03:00:00,-176.53949395200394,-184.71794253126862,-123.67940711896321,-136.31604776061317,-546.577035903782
2017-06-21 04:00:00,-292.66506543330655,-317.98803058245346,-226.7005853316628,-197.23415827830485,-1294.5290995462065
2017-06-21 05:00:00,-616.8793467570251,-660.3829445800712,-494.0145970743331,-1336.031189223103,-1919.549763641954
2017-06-21 06:00:00,-1114.197522806271,-1219.4135204587483,-731.6252521008234,-2601.975646020531,-2948.1245502249585
2017-06-21 07:00:00,-1796.6532442262105,-1935.689373454957,-1014.727221099882,-4456.026880486659,-4894.9389798070515
2017-06-21 08:00:00,-2725.207232718398,-2703.2380255790276,-1262.0838288459122,-6409.109043763559,-6125.791488107928
2017-06-21 09:00:00,-3806.339762679819,-3931.5703680883967,-1357.7491738613003,-6222.133132841296,-9570.714987312156
2017-06-21 10:00:00,-4297.412620184623,-4621.205278461355,-1360.2564860524021,-9533.431010760545,-9391.162200714272
2017-06-21 11:00:00,-3988.3106472951895,-3889.9858638851147,-1249.9098921435148,-8972.526431779279,-8125.897933494884
2017-06-21 12:00:00,-3429.710708349771,-3546.4227571183264,-1178.1792670330829,-7379.3352817863,-6305.5341340299965
2017-06-21 13:00:00,-3070.7923370552417,-3239.019529021287,-1112.8199895705516,-7059.768044748673,-5930.059240440753
2017-06-21 14:00:00,-2976.112969620939,-3046.962140411988,-1158.6886384403715,-6786.666130234089,-5698.818103537882
2017-06-21 15:00:00,-3066.212176867704,-3076.0036610636266,-1062.2591584007037,-6971.882119431588,-6011.107560684605
2017-06-21 16:00:00,-2933.021375080435,-3122.877094410668,-1097.2341305718642,-6411.379898560412,-6001.258577174292
2017-06-21 17:00:00,-3163.5908239171804,-3230.9668260816607,-1020.6319403699956,-6722.0849199971935,-5912.750193447007
2017-06-21 18:00:00,-3319.280209298092,-3662.6213726929236,-946.3418473570159,-6340.089511110504,-5337.316000461549
2017-06-21 19:00:00,-3001.5945035503646,-3158.8773501713217,-869.1968725686617,-6809.523678847514,-5062.592733310743
2017-06-21 20:00:00,-2684.989994264801,-2716.3297477570427,-726.1751917321861,-4386.046775508435,-3838.982957404594
2017-06-21 21:00:00,-1851.6550599160093,-1923.4325439077631,-496.2008321828058,-3728.4424523178404,-2851.822775660739
2017-06-21 22:00:00,-1325.231726635916,-1314.152173632721,-341.1285076264079,-3400.0802769586408,-2220.41285043864
2017-06-21 23:00:00,-933.6747552641881,-923.8992780533816,-194.3283760821966,-2191.6727309535763,-1567.374766625387
2017-06-22 00:00:00,-425.2674377569625,-447.58449002180805,-94.37228373601334,-815.9332407598321,-471.697685208628
2017-06-22 01:00:00,-204.64353157204147,-217.05289793025582,-84.52104908099028,-186.77134365782047,-224.7216726755088
2017-06-22 02:00:00,-140.41945245587863,-140.91889109071627,-85.60244756995414,-88.46923489771152,-228.7880978101113
2017-06-22 03:00:00,-177.58695094322775,-180.79599126101897,-124.20225021355643,-135.4593919648701,-539.9688889202735
2017-06-22 04:00:00,-286.9285545695058,-305.3005582911152,-226.30906957113737,-195.1383816611278,-1299.1774310456883
2017-06-22 05:00:00,-627.1397950649621,-647.3643013018581,-483.0399543915921,-1328.161199569743,-1930.021550173415
2017-06-22 06:00:00,-1115.9061937954389,-1142.091558459086,-774.5025481065779,-2574.9328018004435,-2934.7727283648073
2017-06-22 07:00:00,-1836.311366356192,-1862.877769951346,-969.024723187466,-4607.510831455072,-4977.215061037012
2017-06-22 08:00:00,-2691.8484338922576,-2731.5111127878617,-1219.3859131557185,-6114.981527381924,-6246.881055688237
2017-06-22 09:00:00,-3849.627320634459,-4027.1607229400233,-1349.4967768455112,-6121.7954952006585,-9460.752098591416
2017-06-22 10:00:00,-4467.4281396291,-4582.502285627315,-1389.265634549095,-9249.04223596641,-10160.890588494029
2017-06-22 11:00:00,-3930.164257875227,-4023.8530020592307,-1250.8806751116024,-8670.493464695737,-8095.846600267781
2017-06-22 12:00:00,-3413.125154806916,-3536.2616244121755,-1195.895859618478,-7585.293045992097,-6306.323662271772
2017-06-22 13:00:00,-3097.2306184072013,-3263.775944515653,-1129.29689096002,-7502.1735361930005,-5717.458650358619
2017-06-22 14:00:00,-3080.2830707473613,-3056.121484584728,-1157.4402525988219,-7066.304792807597,-5649.063094130372
2017-06-22 15:00:00,-3028.111488302533,-3122.456308910735,-1087.0316467375123,-6985.266075764556,-5969.2529167684
2017-06-22 16:00:00,-3037.624293348744,-3044.1104773359475,-1036.7559925215755,-6741.085815214626,-6319.179710464891
2017-06-22 17:00:00,-3322.5919615722546,-3371.9242980852323,-1020.2855941175906,-6704.4082528844765,-5937.938044730427
2017-06-22 18:00:00,-3501.155347840351,-3554.328737907778,-995.2632640243663,-6330.142571203324,-5415.455106297181
2017-06-22 19:00:00,-3151.48347425871,-3142.9111110443946,-861.6739302143103,-7084.47642951638,-4935.494961123364
2017-06-22 20:00:00,-2647.308907854266,-2642.9431709801993,-696.0944507037257,-4375.035136509829,-4007.453025482989
2017-06-22 21:00:00,-1946.8607556987017,-1980.4557886483112,-523.2862660173404,-3797.1356708534668,-2754.8525784519343
2017-06-22 22:00:00,-1308.8532144256405,-1312.0742616589341,-337.7804690016927,-3279.373124586351,-2199.309385780845
2017-06-22 23:00:00,-924.5620005352673,-953.214410505602,-200.2617829985591,-2175.4122937843676,-1630.1873528234355
2017-06-23 00:00:00,-440.4809463832539,-439.8670750829028,-93.64213869244529,-801.6624699055983,-484.6522655434435
2017-06-23 01:00:00,-207.08147798461147,-217.49458226373838,-83.6025285665084,-182.91898173135064,-218.91181841320414
2017-06-23 02:00:00,-138.9192015586608,-145.94048868418906,-90.59474259062418,-88.53737531340907,-222.85354606224166
2017-06-23 03:00:00,-177.68024777620192,-190.2837487595702,-118.98106998686833,-134.89451579287763,-531.1572235154878
2017-06-23 04:00:00,-292.74569606925644,-303.64080093891056,-232.7898275104516,-188.35221220540484,-1299.5534829270068
2017-06-23 05:00:00,-631.6831800898385,-649.2510233528269,-511.0990659092855,-1299.1920031062687,-1911.1200973625782
2017-06-23 06:00:00,-1118.4382510715795,-1157.26604096148,-751.9797531987607,-2558.6587079502087,-2985.9546362873707
2017-06-23 07:00:00,-1891.6301819853709,-1839.2282329161767,-961.100717183807,-4468.865755939277,-4782.994207432226
2017-06-23 08:00:00,-2734.2539612687597,-2777.1986220924555,-1248.8602800557294,-6468.632364380193,-6445.9235663035215
2017-06-23 09:00:00,-3921.0104478886433,-4118.031343317469,-1315.7311935545138,-6086.254584869092,-9641.32193503793
2017-06-23 10:00:00,-4189.225938716479,-4484.766618786556,-1401.254636747703,-9583.710967611876,-9800.687838180049
2017-06-23 11:00:00,-3717.7417017248717,-3922.9670546830507,-1247.3012891201752,-8646.169762889154,-8018.1340626444435
2017-06-23 12:00:00,-3489.8817145191333,-3555.518711032937,-1142.1580610115507,-7411.410277532324,-6412.745092867563
2017-06-23 13:00:00,-3154.6276765275297,-3100.3396969108862,-1075.741902226006,-7109.314865426373,-5599.025544429973
2017-06-23 14:00:00,-2989.2910816459644,-3067.7289781149457,-1144.8788279781957,-6963.7191207619,-5815.349565920204
2017-06-23 15:00:00,-2999.9837313086236,-3086.670520426793,-1133.7624166862147,-7008.540507464721,-5853.667193388756
2017-06-23 16:00:00,-2910.350981041516,-3081.6608013140785,-1048.1329908550877,-6668.564865397702,-6310.95244414353
2017-06-23 17:00:00,-3364.785700063171,-3312.3034479875028,-1047.431916740107,-6555.69198462307,-5747.652980398101
2017-06-23 18:00:00,-3434.88050382656,-3514.0065335435875,-984.7291561684001,-6547.626904091476,-5210.6134425030905
2017-06-23 19:00:00,-3047.5872988465253,-3158.1573746972217,-855.133948547304,-6743.841872274967,-4896.254528452122
